horodatage,casque,zone,sensor1,sensor2,sensor3,sensor4,h2s_mesure,h2s_predit,dose_cumulee,temperature,humidite,prob_normal,prob_modere,prob_dangereux,niveau,label,temp_elevee,vitesse_kmh,satellites,altitude,hdop,rssi_wifi,exposition,latitude,longitude
2026-06-26 09:27:00,CASQUE_001,Mine Kamoto - KCC Kolwezi,0.7,0.65,0.65,0.65,0.662,0.0,0.0,30.0,72.0,0.9926,0.0074,0.0,0,NORMAL,0,0,8,1440,1.2,-65,Faible,-10.71768031589936,25.473014113888464
2026-06-26 09:27:11,CASQUE_001,Mine Kamoto - KCC Kolwezi,15.1,14.64,14.52,15.17,14.858,0.0,14.86,23.0,30.0,0.0,0.0,1.0,2,DANGEREUX,0,0,8,1440,1.2,-65,Faible,-10.717875944002458,25.472325887115097
2026-06-26 09:27:26,SIM_001,Galerie Nord — niveau -120 m,0.0,0.09,0.0,0.47,0.14,0.0,0.0,22.7,21.2,1.0,0.0,0.0,0,NORMAL,0,2.6,6,1440.0,1.7,-62,Faible,-10.7176912226466,25.473159818302896
2026-06-26 09:27:26,SIM_002,Galerie Est — niveau -90 m,1.15,3.96,10.1,2.97,4.545,0.0,4.54,23.2,30.8,0.0,1.0,0.0,1,MODERE,0,3.0,10,1440.0,1.4,-69,Faible,-10.71693931901292,25.473571946170274
2026-06-26 09:27:26,SIM_003,Puits principal — niveau -150 m,7.43,20.53,16.6,8.57,13.283,0.0,13.28,23.0,27.4,0.0,0.0,1.0,2,DANGEREUX,0,0.3,7,1440.0,1.9,-72,Faible,-10.716509285130744,25.4731554831062
2026-06-26 09:27:26,SIM_004,Galerie Sud — niveau -60 m,0.0,0.1,0.0,0.47,0.142,0.0,0.0,23.1,50.6,1.0,0.0,0.0,0,NORMAL,0,0.3,8,1440.0,1.5,-59,Faible,-10.719790605229234,25.474063338116935
2026-06-26 09:27:27,SIM_001,Galerie Nord — niveau -120 m,0.0,0.09,0.0,0.45,0.135,0.0,0.0,23.1,50.9,1.0,0.0,0.0,0,NORMAL,0,2.0,10,1440.0,1.0,-70,Faible,-10.717263782235483,25.473433873812453
2026-06-26 09:27:28,SIM_002,Galerie Est — niveau -90 m,2.78,5.81,7.9,4.08,5.143,0.0,9.69,22.5,44.0,0.0,1.0,0.0,1,MODERE,0,1.6,7,1440.0,1.2,-61,Faible,-10.717144532034471,25.473296635445607
2026-06-26 09:27:28,SIM_003,Puits principal — niveau -150 m,3.98,10.83,12.3,5.04,8.037,0.0,21.32,22.9,49.8,0.0,0.0,1.0,2,DANGEREUX,0,2.2,6,1440.0,0.8,-71,Faible,-10.716552774326585,25.47363273378855
2026-06-26 09:27:28,SIM_004,Galerie Sud — niveau -60 m,13.06,35.58,39.1,16.79,26.133,0.0,26.13,23.0,19.6,0.0,0.0,1.0,2,DANGEREUX,0,2.5,12,1440.0,1.7,-66,Faible,-10.719754743944181,25.474006170258242
2026-06-26 09:27:30,SIM_001,Galerie Nord — niveau -120 m,0.01,0.12,0.1,0.46,0.173,0.0,0.0,23.1,29.7,1.0,0.0,0.0,0,NORMAL,0,2.3,8,1440.0,1.2,-70,Faible,-10.71778289273356,25.473687138710773
2026-06-26 09:27:30,SIM_002,Galerie Est — niveau -90 m,1.88,4.15,5.8,2.93,3.69,0.0,13.38,23.1,29.2,0.0,1.0,0.0,1,MODERE,0,2.1,8,1440.0,1.8,-63,Faible,-10.716865020972781,25.47323617244817
2026-06-26 09:27:30,SIM_003,Puits principal — niveau -150 m,4.26,9.26,13.0,5.77,8.072,0.0,29.39,23.1,29.3,0.0,0.0,1.0,2,DANGEREUX,0,1.2,9,1440.0,1.4,-60,Faible,-10.716223741282707,25.473310348799398
